,Name,Address,Multiflex_no,Traffic,,,,,,,,,,Search_Word,Feeding,Stroller,Revenue,Store,
,,,,subway __ ___,__ ___ __,___ __ ____,____ (grn),____ (red),____ (blue),____ / ____,____,____ __ __,___ __ __,,,,,,
1,____ __,,,"___, ___, ___, ____, ___, ___",6 (___ ___),0,"23, 81, 82, 87","9302, 9303",50,Nan,Nan,7,9,,,,,,
2,____ ___,,,"___, ____",3,1,3411,Nan,"146, 333, 341, 360, 740, N13, N16","1100, 1700, 2000, 2000-1, 500-2, 7007, 8001, 9303, 9414","__07, __08",19,5,,,,,,
3,_____ __,,,___,1,1,"2224, 3212, 3214",9204,"1, 1-1, 1-2, 9, 11, 15, 91, 91-1, 92, 93, 05, 96, 97, 1115-2, 100, 2000-1, 5600, 112-3, 9204, 1001","13, 13-2, 15-3, 112, 112-1, 112-5, 1113-1, 1117, 1117-1","__01, __01, __03, __04",37,3,,,,,,
4,_____ __,,,"___, ____",2,1,17,"6030, 6001, N6001, N6002","400, 502, 100, 150, 151, 152, 500, 501, 504, 506, 507, 605, 750A, 750B, 751, 752",Nan,Nan,11,5,,,,,,
5,_____,,,___,1,0,"3418, 3423",94-3,"302, 303, 320, 360, 363, 70, 116, 199, 500-1, 550, 1001, 1112, 1117, 402",Nan,Nan,17,x,,,,,,
6,_____,,,"____, ______, ___, ____",4,1,"5625, 6654, 9408, 5714, 6637, 6640A, 5714, 6628, 6630, 6631, 6637, 6640B","9707, 1082, 1500, 870, 830, 9000, 9030, 70-3, 9000, 9030, 6008, 5-1, 5, 700, 871","670, 605, 5616, 6628, 6629, 462, 88-1, 88, 670, 605, 760",Nan,"___05, ___03, ___04, ",41,6,,,,,,
7,_____,,,"____ (1, 2__)",1,1,"5615, 5714,6512,6513,6515,6637,6640, 6648, 6649, 10, 23, 68, 83, 83-1, 108, 138, 583",Nan,"5619, 6411, 6511, 6611, 6618, 6650, 6651, 6653, 160,260,503, 600, 670, 301, 320, 10, 11-1, 11-2, 83, 88, 510",Nan,"___01, __09",40,2,,,,,,
8,___ __,,,_____,1,1,"2, 3, 12, 50, 56, 71, 150, 220, 50-1, 60, 60-3, 69, 71, 85-1, 88, 150, 220, 388, 1002","6629, 6712, 6632, 6642","78, 66, 605, 651, 601, 60-5, 66, 78","85, 20, 22, 300, 5100, 5200, 8843, 4300",Nan,39,5,,,,,,
9,___ __,,,____,1,0,"7211, 7733, 8772, 17, 19, 30, 31, 34, 55, 99, 100, 330, 333, 360, 567, 7211, 7722, 7723, 7733, 15-1, 19-1, 8722","9710,  9703, 9709","571, 703, 706, 760, 471, 704, 705, 720, N37, 333",Nan,Nan,35,3,,,,,,
10,IFC_,,,"____ (5, 9__)",1,1,"5012, 5615, 5618, 5623, 6513, 6623, 6628","10, 10-1, 11-2, 83, 88, 301, 320, 2500, 3601, 5601, 8600","160, 162, 260, 261, 262, 360, 461, 600, 661, 662",Nan,Nan,28,x,,,,,,